Liechtenstein,36834,37127,37403,37666,37922
Sri Lanka,20585000,20771000,20966000,21203000,21444000
Lesotho,2117361,2145785,2174645,2203821,2233339
Lithuania,2957689,2932367,2904910,2868231,2827721
Luxembourg,543360,556319,569604,582014,599449
Latvia,2012647,1993782,1977527,1959537,1940740
Macao SAR_ China,575841,588781,600942,612167,622567
St. Martin (French part),31264,31530,31754,31949,32125
Morocco,33824769,34318082,34803322,35276786,35739580
Monaco,37971,38132,38307,38499,38695
Moldova,3558566,3556397,3554108,3551954,3549750
Madagascar,22961146,23589801,24234088,24894551,25570895
Maldives,397397,408247,418403,427756,436330
Mexico,122535969,124221600,125890949,127540423,129163276
Marshall Islands,52793,52898,52994,53066,53127
Macedonia_ FYR,2075739,2077495,2079308,2081206,2083160
Malta,425967,434558,445053,455356,465292
Myanmar,51448196,51924182,52403669,52885223,53370609
Montenegro,621207,621810,622159,622303,622471
Mongolia,2869107,2923896,2976877,3027398,3075647
Mozambique,26434372,27212382,28010691,28829476,29668834
Mauritania,3946170,4063920,4182341,4301018,4420184
Mauritius,1258653,1260934,1262605,1263473,1264613
Malawi,16577147,17068838,17573607,18091575,18622104
Malaysia,29706724,30228017,30723155,31187265,31624264
Namibia,2316520,2370992,2425561,2479713,2533794
New Caledonia,263650,268050,272400,276550,280460
Niger,18426372,19148219,19896965,20672987,21477348
Nigeria,171829303,176460502,181181744,185989640,190886311
Nicaragua,5945747,6013997,6082035,6149928,6217581
Netherlands,16804432,16865008,16939923,17030314,17132854
Norway,5079623,5137232,5190239,5234519,5282223
Nepal,27985310,28323241,28656282,28982771,29304998
Nauru,10821,11853,12475,13049,13649
New Zealand,4442100,4509700,4595700,4693200,4793900
Oman,3711481,3960925,4199810,4424762,4636262
Pakistan,181712595,185546257,189380513,193203476,197015955
Panama,3838462,3903986,3969249,4034119,4098587
Peru,30565716,30973354,31376671,31773839,32165485
Philippines,98481032,100102249,101716359,103320222,104918090
Palau,20920,21094,21288,21503,21729
Papua New Guinea,7592865,7755785,7919825,8084991,8251162
Poland,38040196,38011735,37986412,37970087,37975841
Puerto Rico,3593077,3534874,3473177,3406520,3337177
Korea_ Dem. Peopleƒ??s Rep.,24985976,25116363,25243917,25368620,25490965
Portugal,10457295,10401062,10358076,10325452,10293718
Paraguay,6465740,6552584,6639119,6725308,6811297
West Bank and Gaza,4169506,4294682,4422143,4551566,4684777
French Polynesia,273528,275484,277690,280208,283007
Qatar,2250473,2374419,2481539,2569804,2639211
Romania,19983693,19908979,19815481,19702332,19586539
Rwanda,11065151,11345357,11629553,11917508,12208407
Saudi Arabia,29944476,30776722,31557144,32275687,32938213
Sudan,36849918,37737913,38647803,39578828,40533330
Senegal,14120320,14546111,14976994,15411614,15850567
Singapore,5399162,5469724,5535002,5607283,5612253
Solomon Islands,563513,575504,587482,599419,611343
Sierra Leone,6922079,7079162,7237025,7396190,7557212
El Salvador,6250777,6281189,6312478,6344722,6377853
San Marino,32303,32657,32960,33203,33400
Somalia,13132349,13513125,13908129,14317996,14742523
Serbia,7164132,7130576,7095383,7058322,7022268
South Sudan,11177490,11530971,11882136,12230730,12575714
Small states,37572012,38266156,38960406,39646847,40324496
Suriname,542540,547928,553208,558368,563402
Slovak Republic,5413393,5418649,5423801,5430798,5439892
Slovenia,2059953,2061980,2063531,2065042,2066748
Sweden,9600379,9696110,9799186,9923085,10067744
Swaziland,1271456,1295097,1319011,1343098,1367254
Seychelles,89949,91359,93419,94677,95843
Syrian Arab Republic,19809141,19203090,18734987,18430453,18269868
Turks and Caicos Islands,33108,33739,34339,34900,35446
Togo,7042948,7228915,7416802,7606374,7797694
Thailand,68143065,68416772,68657600,68863514,69037513
Tajikistan,8177809,8362745,8548651,8734951,8921343
Turkmenistan,5366277,5466241,5565284,5662544,5758075
Tonga,105328,105782,106364,107122,108020
Trinidad and Tobago,1348248,1354493,1360092,1364962,1369125
Tunisia,11014558,11143908,11273661,11403248,11532127
Turkey,75787333,77030628,78271472,79512426,80745020
Tuvalu,10819,10908,11001,11097,11192
Tanzania,50636595,52234869,53879957,55572201,57310019
Uganda,37553726,38833338,40144870,41487965,42862958
Ukraine,45489600,45271947,45154029,45004645,44831159
Uruguay,3408005,3419546,3431552,3444006,3456750
United States,316234505,318622525,321039839,323405935,325719178
Uzbekistan,30243200,30757700,31298900,31847900,32387200
St. Vincent and the Grenadines,109320,109357,109455,109643,109897
Venezuela_ RB,30317848,30738378,31155134,31568179,31977065
British Virgin Islands,29056,29588,30113,30661,31196
Virgin Islands (U.S.),108044,107884,107710,107510,107268
Vietnam,91497725,92544915,93571567,94569072,95540800
Vanuatu,253142,258850,264603,270402,276244
Samoa,190757,192290,193759,195125,196440
Kosovo,1824100,1821800,1801800,1816200,1830700
Yemen_ Rep.,25576322,26246327,26916207,27584213,28250420
South Africa,53767396,54539571,55291225,56015473,56717156
Zambia,15153210,15620974,16100587,16591390,17094130
Zimbabwe,15054506,15411675,15777451,16150362,16529904
